model,effect,metric,value,n,q
refit,fx,var,0.001261154655367136,25600,1024
refit,fr,mspe,0.022376887500286102,25600,1024
refit,fr,bias2,0.021115731447935104,25600,1024
refit,fr,var,0.001261154655367136,25600,1024
refit,fz,mspe,0.0003208830894436687,25600,1024
refit,fz,bias2,1.7987920728046447e-05,25600,1024
refit,fz,var,0.00030289520509541035,25600,1024
refit_orth,y,mspe,1.0037776231765747,25600,1024
refit_orth,y,bias2,1.0025990009307861,25600,1024
refit_orth,y,var,0.0011786780087277293,25600,1024
refit_orth,fx,mspe,0.020823093131184578,25600,1024
refit_orth,fx,bias2,0.019746528938412666,25600,1024
refit_orth,fx,var,0.0010765613988041878,25600,1024
refit_orth,fr,mspe,0.0012859723065048456,25600,1024
refit_orth,fr,bias2,0.0002094108785968274,25600,1024
refit_orth,fr,var,0.0010765613988041878,25600,1024
refit_orth,fz,mspe,0.019818764179944992,25600,1024
refit_orth,fz,bias2,0.019746821373701096,25600,1024
refit_orth,fz,var,7.194154022727162e-05,25600,1024
refit,y,mspe,1.003820538520813,25600,128
refit,y,bias2,1.003147840499878,25600,128
refit,y,var,0.000672654714435339,25600,128
refit,fx,mspe,0.0008537503890693188,25600,128
refit,fx,bias2,0.0002025714493356645,25600,128
refit,fx,var,0.0006511789397336543,25600,128
refit,fr,mspe,0.022589102387428284,25600,128
refit,fr,bias2,0.02193792350590229,25600,128
refit,fr,var,0.0006511789397336543,25600,128
refit,fz,mspe,0.00023011965095065534,25600,128
refit,fz,bias2,5.3147730795899406e-05,25600,128
refit,fz,var,0.00017697192379273474,25600,128
refit_orth,y,mspe,1.0038102865219116,25600,128
refit_orth,y,bias2,1.0031484365463257,25600,128
refit_orth,y,var,0.0006619192427024245,25600,128
refit_orth,fx,mspe,0.020229952409863472,25600,128
refit_orth,fx,bias2,0.019667617976665497,25600,128
refit_orth,fx,var,0.0005623340839520097,25600,128
refit_orth,fr,mspe,0.0006997955497354269,25600,128
refit_orth,fr,bias2,0.00013746148033533245,25600,128
refit_orth,fr,var,0.0005623340839520097,25600,128
refit_orth,fz,mspe,0.019818764179944992,25600,128
refit_orth,fz,bias2,0.019746821373701096,25600,128
refit_orth,fz,var,7.194157660705969e-05,25600,128
refit,y,mspe,1.0035529136657715,25600,16
refit,y,bias2,1.0029281377792358,25600,16
refit,y,var,0.0006247495766729116,25600,16
refit,fx,mspe,0.0008654406410641968,25600,16
refit,fx,bias2,0.0002545500756241381,25600,16
refit,fx,var,0.0006108906236477196,25600,16
refit,fr,mspe,0.02278747409582138,25600,16
refit,fr,bias2,0.022176580503582954,25600,16
refit,fr,var,0.0006108906236477196,25600,16
refit,fz,mspe,0.00023452393361367285,25600,16
refit,fz,bias2,6.138189928606153e-05,25600,16
refit,fz,var,0.00017314200522378087,25600,16
refit_orth,y,mspe,1.0035467147827148,25600,16
refit_orth,y,bias2,1.002921462059021,25600,16
refit_orth,y,var,0.0006253041210584342,25600,16
refit_orth,fx,mspe,0.020204758271574974,25600,16
refit_orth,fx,bias2,0.01967810094356537,25600,16
refit_orth,fx,var,0.0005266570951789618,25600,16
refit_orth,fr,mspe,0.0007050297572277486,25600,16
refit_orth,fr,bias2,0.00017837256018538028,25600,16
refit_orth,fr,var,0.0005266570951789618,25600,16
refit_orth,fz,mspe,0.01981876604259014,25600,16
refit_orth,fz,bias2,0.019746823236346245,25600,16
refit_orth,fz,var,7.194151839939877e-05,25600,16
refit,y,mspe,1.0125752687454224,25600,2
