n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,16,posthoc_lam0,fz,mspe,0.010640291,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_lam0,fz,bias2,6.227564e-05,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_lam0,fz,var,0.010578015,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_lam0,fr,mspe,0.040982302,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_lam0,fr,bias2,0.021451782,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_lam0,fr,var,0.01953052,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,y,mspe,1.009875,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,y,bias2,1.0059439,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,y,var,0.0039310846,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fx,mspe,0.02252553,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fx,bias2,0.01986222,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fx,var,0.0026633083,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fz,mspe,0.02036956,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fz,bias2,0.019421907,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fz,var,0.0009476538,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fr,mspe,0.0030835187,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fr,bias2,0.00042021013,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth,fr,var,0.0026633083,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth_lam0,y,mspe,1.0148375,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth_lam0,y,bias2,1.0034759,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth_lam0,y,var,0.011361704,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
3200,1.0,0.8,1,16,posthoc_orth_lam0,fx,mspe,0.030126764,n=3200_bz=1.0_cv1=0.8_p=1_q=16_20251022-205305
